t, real_GRF, FOB_GRF, posRWr_ref, posRWr, posRWtheta_ref, posRWtheta, tau_bi_m, tau_bi_b, qddot_m, qddot_b
0.000000, 0.000000, 0.000000, 0.353600, 0.135006, 1.570796, 1.844202, 1057.646860, -2200.392651, 0.000000, 0.000000
0.001500, 4366.896350, -3618.831413, 0.345165, 0.210847, 1.570796, 1.648573, 377.275981, 1151.195562, 42639.743687, -27093.873064
0.003000, -1722.031823, 3069.550927, 0.333045, 0.244394, 1.570796, 1.647976, -180.517083, -561.334071, 11841.505130, 115918.347858
0.004500, 79.999238, 651.547341, 0.343024, 0.273246, 1.570796, 1.626214, -63.197932, 62.024393, -19235.563970, -65128.667263
0.006000, 411.027298, 1051.846731, 0.350672, 0.297205, 1.570796, 1.595823, 53.545874, 60.506844, 2184.828885, 55581.247107
0.007500, -319.807638, 267.682703, 0.357457, 0.311538, 1.570796, 1.592584, 16.700559, -37.090767, 1710.177245, -21752.005500
0.009000, 935.830816, 87.424176, 0.360560, 0.330485, 1.570796, 1.580915, -46.037034, 177.416047, 1857.792177, 16242.743734
0.010500, 385.947433, -39.490577, 0.361686, 0.343029, 1.570796, 1.586003, -124.789995, 35.094979, -1140.733074, 1221.506546
0.012000, 785.226641, -214.610091, 0.361507, 0.354939, 1.570796, 1.586927, -156.257497, 107.401358, -3521.187768, 2416.748492
0.013500, 561.756298, -225.137746, 0.360250, 0.362748, 1.570796, 1.589276, -154.483360, 54.228745, -4602.926678, 5292.050190
0.015000, 471.321801, -257.969665, 0.358590, 0.367577, 1.570796, 1.589853, -129.824062, 48.330985, -4245.953360, 1475.265638
0.016500, 342.031623, -205.393783, 0.356767, 0.369814, 1.570796, 1.588835, -91.762406, 33.025184, -3636.002607, 3645.888155
0.018000, 177.264565, -156.625234, 0.355183, 0.369821, 1.570796, 1.587406, -53.671067, 14.948793, -2379.475740, 1428.694408
0.019500, 83.646522, -94.315313, 0.353962, 0.368599, 1.570796, 1.585320, -19.892570, 8.242667, -1311.026216, 1443.193325
0.021000, -15.340106, -42.639551, 0.353174, 0.366598, 1.570796, 1.583531, 4.588129, -2.457290, -328.680763, 527.820672
0.022500, -59.142303, -5.295364, 0.352775, 0.364488, 1.570796, 1.581990, 19.332061, -5.440222, 339.401201, 28.698519
0.024000, -83.898884, 19.182100, 0.352673, 0.362590, 1.570796, 1.580955, 25.199024, -8.134990, 703.361603, -243.057059
0.025500, -82.626985, 29.536004, 0.352769, 0.361125, 1.570796, 1.580368, 24.444269, -7.824087, 814.304465, -481.504586
0.027000, -67.899607, 31.440745, 0.352965, 0.360149, 1.570796, 1.580135, 19.797435, -6.446030, 734.070383, -456.543693
0.028500, -48.182872, 26.930309, 0.353189, 0.359607, 1.570796, 1.580148, 13.579165, -4.625969, 562.178730, -427.495992
0.030000, -27.440798, 19.788911, 0.353392, 0.359400, 1.570796, 1.580267, 7.562362, -2.614707, 360.166347, -307.405850
